frame_id,t_rx_us,uplink_latency_ms,path
0,1777640003609200,26.062,0
1,1777640003664562,33.933,0
2,1777640003739442,27.483,0
3,1777640003799194,29.895,0
4,1777640003834109,32.597,0
5,1777640003899349,29.579,0
6,1777640003926203,39.715,1
7,1777640004004424,24.562,0
8,1777640004044280,21.728,0
9,1777640004114566,14.400,0
10,1777640004138901,27.215,0
11,1777640004189292,39.920,1
# epoch,5455395517026,1.0000,1.0000,10,10,2,2,4.804,0.000,2.402,0.000,0.002,37.2840778,127.0439867,5
12,1777640004239077,27.376,0
13,1777640004304350,24.664,0
# epoch,5455395624093,1.0000,1.0000,12,12,2,2,4.804,0.000,2.402,0.000,0.002,37.2840778,127.0439867,5
14,1777640004344746,21.738,0
15,1777640004404524,24.429,0
# epoch,5455395724203,1.0000,1.0000,14,14,2,2,4.804,0.000,2.402,0.000,0.002,37.2840778,127.0439867,5
16,1777640004444411,21.905,0
17,1777640004495917,33.114,0
# epoch,5455395824317,1.0000,1.0000,16,16,2,2,4.804,0.000,2.402,0.000,0.002,37.2840778,127.0439867,5
18,1777640004539075,26.564,0
19,1777640004604881,27.202,0
# epoch,5455395924422,1.0000,1.0000,18,18,2,2,4.804,0.000,2.402,0.000,0.002,37.2840778,127.0439867,5
20,1777640004639289,25.760,0
21,1777640004694646,36.342,0
# epoch,5455396024518,1.0000,1.0000,20,20,2,2,4.804,0.000,2.402,0.000,0.002,37.2840778,127.0439867,5
22,1777640004738955,26.067,0
23,1777640004794233,36.001,0
# epoch,5455396124627,1.0000,1.0000,22,22,2,2,4.804,0.000,2.402,0.000,0.002,37.2840778,127.0439867,5
24,1777640004839569,25.566,0
25,1777640004905972,23.825,0
# epoch,5455396224738,1.0000,1.0000,24,24,2,2,4.804,0.000,2.402,0.000,0.002,37.2840778,127.0439867,5
26,1777640004934230,31.308,0
27,1777640005009024,21.594,0
# epoch,5455396324843,1.0000,1.0000,26,26,2,2,4.804,0.000,2.402,0.000,0.002,37.2840778,127.0439867,5
28,1777640005034521,30.472,0
29,1777640005104205,26.387,0
# epoch,5455396424964,1.0000,1.0000,28,28,2,2,4.804,0.000,2.402,0.000,0.000,37.2840778,127.0439869,5
30,1777640005134646,30.387,0
31,1777640005204442,25.997,0
# epoch,5455396525538,1.0000,1.0000,30,30,2,2,4.804,0.000,2.402,0.000,0.000,37.2840778,127.0439869,5
32,1777640005239344,26.270,0
33,1777640005304191,26.018,0
