epoch_ts,adv_return_ms,adv_recv_count,steer_rate_pct,steer_result,apply_latency_ms
5452926650760,26.065,1,0.0,PASS,0.039
5452927657367,39.025,2,0.0,PASS,0.020
5452928664288,40.058,3,0.0,PASS,0.039
5452929671110,40.168,4,0.0,PASS,0.084
5452930677949,26.736,5,20.0,STEERED,0.045
5452931684748,36.092,6,16.7,PASS,0.039
5452932692355,38.583,7,14.3,PASS,0.140
5452933699134,26.982,8,25.0,STEERED,0.022
5452934706359,39.606,9,33.3,STEERED,0.025
5452935713292,25.779,10,40.0,STEERED,0.038
5452936720312,40.866,11,45.5,STEERED,0.042
5452937727457,38.404,12,50.0,STEERED,0.030
5452938734470,26.049,13,53.8,STEERED,0.026
5452939741626,40.383,14,57.1,STEERED,0.035
5452940748680,37.948,15,60.0,STEERED,0.242
5452941755547,40.199,16,62.5,STEERED,0.041
5452942762883,27.942,17,64.7,STEERED,0.081
5452943771334,26.066,18,66.7,STEERED,0.021
5452944778285,38.752,19,68.4,STEERED,0.049
5452945786035,26.214,20,70.0,STEERED,0.038
5452946793195,37.012,21,71.4,STEERED,0.083
5452947800479,40.153,22,72.7,STEERED,0.020
5452948807661,37.610,23,73.9,STEERED,0.039
5452949814950,40.325,24,75.0,STEERED,0.022
5452950822274,26.278,25,72.0,PASS,0.036
5452951829529,35.783,26,73.1,STEERED,0.021
5452952836696,38.843,27,74.1,STEERED,0.035
5452953843665,36.911,28,75.0,STEERED,0.049
5452954850716,41.463,29,75.9,STEERED,0.027
5452955858191,37.065,30,76.7,STEERED,0.033
5452956865074,40.412,31,77.4,STEERED,0.022
5452957873978,41.365,32,75.0,PASS,0.089
5452958883474,37.158,33,72.7,PASS,0.020
5452959890717,25.949,34,73.5,STEERED,0.363
5452960897918,37.170,35,74.3,STEERED,0.045
5452961905134,40.333,36,75.0,STEERED,0.027
5452962912180,25.322,37,75.7,STEERED,0.043
5452963919185,39.098,38,76.3,STEERED,0.023
5452964926900,25.598,39,76.9,STEERED,0.046
5452965934213,36.276,40,77.5,STEERED,0.026
5452966941451,38.970,41,78.0,STEERED,0.025
5452967948563,25.426,42,78.6,STEERED,0.045
5452968955276,39.852,43,76.7,PASS,0.050
5452969962371,25.490,44,77.3,STEERED,0.022
5452970972650,37.561,45,75.6,PASS,0.033
5452971979679,39.650,46,76.1,STEERED,0.046
5452972987392,25.086,47,74.5,PASS,0.034
5452973994527,35.840,48,75.0,STEERED,0.048
5452975001655,25.748,49,75.5,STEERED,0.052
5452976008835,36.322,50,76.0,STEERED,0.023
5452977015935,39.202,51,76.5,STEERED,0.032
5452978023101,37.068,52,76.9,STEERED,0.049
5452979030271,25.454,53,77.4,STEERED,0.039
5452980037427,37.815,54,75.9,PASS,0.034
5452981044491,25.349,55,74.5,PASS,0.027
5452982051421,40.137,56,73.2,PASS,0.040
5452983058686,39.082,57,73.7,STEERED,0.045
5452984065694,40.575,58,74.1,STEERED,0.039
5452985072837,24.766,59,74.6,STEERED,0.035
5452986085275,39.461,60,75.0,STEERED,0.087
5452987092186,39.478,61,73.8,PASS,0.030
5452988099409,25.318,62,72.6,PASS,0.036
5452989106593,38.573,63,71.4,PASS,0.047
5452990113714,25.399,64,70.3,PASS,0.044
5452991121066,40.696,65,69.2,PASS,0.036
5452992128151,25.362,66,69.7,STEERED,0.017
5452993135199,40.151,67,70.1,STEERED,0.022
5452994141953,25.681,68,70.6,STEERED,0.040
5452995148803,36.545,69,69.6,PASS,0.029
5452996156013,24.970,70,70.0,STEERED,0.024
5452997163065,36.806,71,70.4,STEERED,0.045
5452998170249,24.861,72,70.8,STEERED,0.053
5452999177134,25.384,73,71.2,STEERED,0.032
5453000184310,35.641,74,71.6,STEERED,0.042
5453001199089,35.937,75,72.0,STEERED,0.031
5453002206387,38.574,76,72.4,STEERED,0.045
5453003213358,36.619,77,72.7,STEERED,0.033
5453004220344,25.200,78,73.1,STEERED,0.094
5453005227531,37.490,79,73.4,STEERED,0.023
5453006234780,25.262,80,73.8,STEERED,0.031
5453007242113,39.389,81,74.1,STEERED,0.022
5453008248887,36.129,82,74.4,STEERED,0.027
5453009255849,38.862,83,74.7,STEERED,0.022
5453010262874,37.090,84,75.0,STEERED,0.030
5453011270249,39.488,85,75.3,STEERED,0.052
5453012277296,25.697,86,75.6,STEERED,0.159
5453013284160,37.325,87,75.9,STEERED,0.048
5453014290929,25.199,88,76.1,STEERED,0.050
5453015298018,39.536,89,76.4,STEERED,0.042
5453016311671,38.183,90,76.7,STEERED,0.035
5453017318480,24.993,91,76.9,STEERED,0.042
5453018325527,39.225,92,77.2,STEERED,0.052
5453019332883,37.088,93,77.4,STEERED,0.049
5453020339971,24.908,94,77.7,STEERED,0.463
5453021347032,24.963,95,77.9,STEERED,0.039
5453022354154,37.637,96,78.1,STEERED,0.037
5453023361147,25.229,97,78.4,STEERED,0.045
5453024369020,36.577,98,78.6,STEERED,0.049
5453025376867,38.120,99,78.8,STEERED,0.065
5453026383692,24.693,100,78.0,PASS,0.046
5453027390670,40.817,101,77.2,PASS,0.044
5453028397475,37.183,102,76.5,PASS,0.037
5453029404493,25.462,103,75.7,PASS,0.050
5453030411677,25.131,104,75.0,PASS,0.057
5453031418840,35.781,105,74.3,PASS,0.046
5453032426007,25.834,106,73.6,PASS,0.035
5453033433113,36.371,107,73.8,STEERED,0.050
5453034440093,45.182,108,74.1,STEERED,0.048
5453035447103,37.753,109,74.3,STEERED,0.034
5453036453979,25.058,110,74.5,STEERED,0.035
5453037460660,38.773,111,74.8,STEERED,0.043
5453038467736,36.713,112,74.1,PASS,0.047
5453039475026,25.352,113,73.5,PASS,0.202
5453040482395,37.150,114,72.8,PASS,0.034
5453041490128,39.375,115,73.0,STEERED,0.032
5453042497692,25.784,116,73.3,STEERED,0.039
5453043505180,40.529,117,73.5,STEERED,0.021
5453044513173,36.526,118,73.7,STEERED,0.025
5453045521166,26.242,119,73.1,PASS,0.022
5453046528875,41.080,120,72.5,PASS,0.044
5453047536838,37.800,121,71.9,PASS,0.032
5453048544683,26.241,122,71.3,PASS,0.161
5453049552089,35.471,123,70.7,PASS,0.047
5453050559679,25.630,124,70.2,PASS,0.047
5453051567345,37.194,125,70.4,STEERED,0.038
5453052575643,25.690,126,69.8,PASS,0.037
5453053583396,42.445,127,69.3,PASS,0.037
5453054591395,25.650,128,68.8,PASS,0.030
5453055599285,40.446,129,69.0,STEERED,0.030
5453056607283,25.745,130,68.5,PASS,0.029
5453057615189,39.760,131,67.9,PASS,0.368
5453058622865,26.585,132,68.2,STEERED,0.044
5453059630706,39.233,133,67.7,PASS,0.041
5453060638572,25.330,134,67.2,PASS,0.171
5453061646383,38.203,135,67.4,STEERED,0.087
5453062654030,25.426,136,66.9,PASS,0.037
5453063661671,38.058,137,66.4,PASS,0.024
5453064670279,25.522,138,66.7,STEERED,0.023
5453065679714,40.201,139,66.2,PASS,0.026
5453066687923,25.463,140,65.7,PASS,0.022
5453067695816,38.631,141,65.2,PASS,0.043
5453068703753,26.043,142,64.8,PASS,0.036
5453069711629,25.261,143,64.3,PASS,0.046
5453070719579,26.269,144,64.6,STEERED,0.064
5453071727610,37.237,145,64.8,STEERED,0.022
5453072735449,25.688,146,64.4,PASS,0.023
5453073743286,36.240,147,64.6,STEERED,0.021
5453074751248,25.642,148,64.9,STEERED,0.027
5453075759344,40.101,149,65.1,STEERED,0.044
5453076767395,37.084,150,65.3,STEERED,0.041
5453077775581,25.725,151,65.6,STEERED,0.183
5453078783350,41.129,152,65.8,STEERED,0.034
5453079791733,26.166,153,66.0,STEERED,0.045
5453080803760,36.492,154,66.2,STEERED,0.047
5453081811784,38.139,155,65.8,PASS,0.038
5453082819734,25.618,156,66.0,STEERED,0.029
5453083827823,37.133,157,66.2,STEERED,0.075
5453084835964,39.064,158,66.5,STEERED,0.046
5453085843811,35.945,159,66.7,STEERED,0.044
5453086851467,25.735,160,66.9,STEERED,0.034
5453087859452,40.246,161,66.5,PASS,0.033
5453088866993,37.865,162,66.0,PASS,0.030
5453089874629,40.027,163,66.3,STEERED,0.024
5453090882435,37.223,164,66.5,STEERED,0.028
5453091890260,26.223,165,66.7,STEERED,0.024
5453092898118,36.102,166,66.9,STEERED,0.024
