epoch_ts,twin_update_mean_ms,twin_update_p95_ms,adv_gen_mean_ms,adv_gen_p95_ms
5279989964816,0.311,0.311,7.705,7.705
5279990974393,0.254,0.305,7.988,8.242
5279991984582,0.214,0.299,7.73,8.214
5279992993362,0.207,0.294,6.874,8.186
5279993999585,0.204,0.288,6.324,8.157
5279995005445,0.201,0.282,6.104,8.129
5279996012398,0.2,0.278,5.84,8.101
5279997018431,0.195,0.272,5.202,8.073
5279998020706,0.192,0.267,5.071,8.044
5279999026460,0.189,0.261,4.907,8.016
5280000031557,0.182,0.255,4.848,7.988
5280001037541,0.183,0.25,4.786,7.959
5280002043477,0.185,0.249,4.508,7.931
5280003046695,0.188,0.26,4.465,7.903
5280004052514,0.188,0.256,4.234,7.875
5280005055313,0.188,0.252,4.015,7.846
5280006058261,0.188,0.248,4.037,7.818
5280007064220,0.185,0.245,3.846,7.79
5280008068989,0.182,0.241,3.842,7.762
5280009074006,0.181,0.237,3.688,7.733
5280010076281,0.177,0.233,3.545,7.705
5280011078136,0.176,0.232,3.441,7.68
5280012080863,0.173,0.23,3.463,7.656
5280013086214,0.17,0.229,3.503,7.631
5280014092189,0.171,0.228,3.541,7.607
5280015098530,0.172,0.227,3.565,7.582
5280016104680,0.174,0.229,3.477,7.558
5280017107839,0.174,0.228,3.491,7.533
5280018113818,0.176,0.235,3.503,7.509
5280019119714,0.174,0.235,3.522,7.484
5280020125705,0.174,0.234,3.557,7.46
5280021131969,0.174,0.234,3.592,7.435
5280022138660,0.176,0.234,3.51,7.41
5280023141119,0.173,0.234,3.415,7.386
5280024142862,0.171,0.234,3.325,7.361
5280025148135,0.171,0.234,3.258,7.337
5280026150602,0.169,0.234,3.188,7.312
5280027154937,0.17,0.233,3.202,7.288
5280028160249,0.169,0.233,3.139,7.263
5280029162752,0.168,0.233,3.067,7.239
5280030164580,0.168,0.233,3.193,7.705
5280031174852,0.168,0.232,3.225,7.68
5280032185740,0.172,0.236,3.257,7.656
5280033192472,0.174,0.236,3.312,7.631
5280034202026,0.174,0.235,3.408,7.684
5280035211497,0.175,0.235,3.489,7.678
5280036220500,0.175,0.235,3.57,7.673
5280037229890,0.174,0.235,3.577,7.668
5280038235608,0.174,0.235,3.586,7.662
5280039241273,0.175,0.235,3.602,7.657
5280040247578,0.173,0.234,3.614,7.652
5280041253601,0.175,0.248,3.716,7.942
5280042264858,0.174,0.247,3.794,7.986
5280043274667,0.173,0.245,3.855,7.965
5280044283496,0.174,0.244,3.861,7.945
5280045289820,0.174,0.243,3.822,7.924
5280046293839,0.175,0.241,3.844,7.903
5280047301128,0.175,0.24,3.856,7.883
5280048306961,0.175,0.239,3.855,7.862
5280049312247,0.174,0.237,3.85,7.842
5280050317770,0.179,0.263,3.845,7.821
5280051323813,0.178,0.261,3.847,7.816
5280052329705,0.179,0.262,3.928,8.191
5280053340916,0.18,0.261,3.939,8.17
5280054348106,0.18,0.261,3.949,8.15
5280055356998,0.18,0.26,3.945,8.129
5280056362650,0.179,0.26,3.947,8.109
5280057368151,0.178,0.259,3.943,8.088
5280058373005,0.178,0.259,3.951,8.068
5280059378845,0.178,0.258,3.95,8.047
5280060384217,0.177,0.258,3.945,8.027
5280061389327,0.177,0.257,3.95,8.006
5280062395403,0.177,0.257,3.955,7.986
5280063404115,0.175,0.257,3.952,7.965
5280064409608,0.175,0.256,3.954,7.945
5280065415511,0.176,0.256,3.962,7.924
5280066421999,0.176,0.255,3.986,7.903
5280067429840,0.176,0.255,3.984,7.883
5280068435404,0.176,0.254,3.996,7.862
5280069442551,0.176,0.254,4.035,7.842
5280070451733,0.177,0.253,4.033,7.821
5280071457686,0.177,0.252,4.068,7.816
5280072467399,0.177,0.251,4.071,7.81
5280073473230,0.178,0.251,4.077,7.804
5280074479893,0.178,0.25,4.109,7.798
5280075488692,0.177,0.249,4.132,7.792
5280076498501,0.177,0.248,4.143,7.786
5280077505267,0.177,0.247,4.136,7.781
5280078510182,0.177,0.246,4.174,7.775
5280079519731,0.177,0.245,4.206,7.769
5280080528562,0.176,0.245,4.206,7.763
5280081534322,0.176,0.244,4.209,7.757
5280082540578,0.175,0.243,4.209,7.752
5280083546409,0.175,0.242,4.211,7.746
5280084552686,0.175,0.241,4.187,7.74
5280085556691,0.177,0.256,4.224,7.781
