epoch_ts,uu_mean_ms,uu_p95_ms,pc5_mean_ms,pc5_p95_ms
5279989964816,73.072,98.944,61.976,63.097
5279990974393,46.08,98.718,61.976,63.097
5279991984582,37.165,90.151,61.976,63.097
5279992993362,33.284,85.762,32.645,63.097
5279993999585,30.771,81.676,26.391,63.097
5279995005445,21.342,40.285,2.668,3.969
5279996012398,22.126,45.199,2.56,3.969
5279997018431,22.981,48.547,3.246,7.322
5279998020706,21.756,48.547,3.218,7.322
5279999026460,21.067,49.306,3.679,7.322
5280000031557,20.054,49.541,9.006,20.592
5280001037541,18.907,49.541,10.609,20.592
5280002043477,18.394,49.306,9.493,20.592
5280003046695,19.115,49.306,9.493,20.592
5280004052514,19.241,44.315,8.167,20.592
5280005055313,19.321,38.153,2.445,3.802
5280006058261,18.082,34.925,2.208,3.227
5280007064220,16.534,31.13,2.09,3.227
5280008068989,16.261,29.133,2.045,3.227
5280009074006,15.65,27.467,2.054,3.227
5280010076281,15.958,27.467,1.757,2.383
5280011078136,16.218,27.467,1.915,2.727
5280012080863,18.116,29.133,9.294,53.055
5280013086214,17.463,27.467,10.539,53.055
5280014092189,17.135,25.573,10.536,53.055
5280015098530,16.783,26.26,10.747,53.055
5280016104680,15.498,21.106,9.379,53.055
5280017107839,15.32,22.797,2.223,3.033
5280018113818,15.574,23.312,2.187,3.033
5280019119714,15.81,26.26,2.264,3.033
5280020125705,17.453,30.681,2.257,3.033
5280021131969,17.464,30.681,2.361,3.033
5280022138660,17.343,30.681,2.085,2.667
5280023141119,17.54,30.989,2.109,2.667
5280024142862,16.398,30.681,2.058,2.667
5280025148135,16.204,25.874,1.94,2.546
5280026150602,16.286,29.678,1.94,2.546
5280027154937,16.191,25.773,2.078,2.546
5280028160249,15.861,23.783,2.119,2.546
5280029162752,16.301,23.783,2.0,2.546
5280030164580,16.099,23.783,1.932,2.357
5280031174852,15.923,27.741,1.928,2.357
5280032185740,18.323,38.028,1.95,2.357
5280033192472,18.414,38.028,1.97,2.707
5280034202026,22.1,58.436,2.089,2.707
5280035211497,28.615,92.544,2.468,5.437
5280036220500,28.259,92.544,2.851,5.976
5280037229890,26.204,92.544,3.162,5.976
5280038235608,25.918,92.544,3.238,5.976
5280039241273,19.319,41.993,3.056,5.976
5280040247578,17.02,35.642,2.873,5.976
5280041253601,18.479,42.198,13.46,58.792
5280042264858,18.95,42.991,10.61,58.792
5280043274667,21.298,46.223,8.971,58.792
5280044283496,22.081,46.614,9.835,58.792
5280045289820,21.442,46.223,10.632,58.792
5280046293839,20.195,46.223,4.078,13.222
5280047301128,20.008,46.223,2.297,2.879
5280048306961,17.671,36.343,4.318,8.182
5280049312247,17.489,36.369,5.45,8.182
5280050317770,16.802,33.969,5.45,8.182
5280051323813,16.852,33.969,5.45,8.182
5280052329705,16.992,31.996,7.252,10.855
5280053340916,18.817,41.223,10.855,10.855
5280054348106,20.39,49.2,5.312,10.855
5280055356998,22.876,55.959,4.638,10.855
5280056362650,24.165,58.414,4.638,10.855
5280057368151,26.173,65.868,4.105,10.28
5280058373005,25.141,61.309,3.738,10.28
5280059378845,22.619,58.414,3.969,10.28
5280060384217,20.344,49.124,3.325,10.28
5280061389327,18.172,38.073,3.325,10.28
5280062395403,15.755,22.781,2.118,2.8
5280063404115,15.261,21.697,2.149,2.8
5280064409608,15.321,22.781,2.217,2.8
5280065415511,15.665,24.248,2.287,2.8
5280066421999,15.815,24.248,2.244,2.8
5280067429840,15.304,22.269,2.253,2.48
5280068435404,15.387,22.269,2.213,2.48
